Subject-ID,Label,One Hot,Binary Label,One Hot,CH26_A-PEAK,CH26_A-P2P,CH26_A-RMS,CH26_A-MLocMaxV,CH26_A-MINLocMinV,CH26_A-MAV,CH26_A-MAVFD,CH26_A-MAVFDN,CH26_A-MAVSD,CH26_A-MAVSDN,CH26_F-zc,CH26_F-fmode,CH26_F-bw,CH26_F-cf,CH26_F-fmean,CH26_F-fmed,CH26_S-median,CH26_S-freqpond,CH26_S-area,CH26_S-areapond,CH26_S-me,CH26_S-sd,CH26_E-Aprox,CH26_E-Fuzzy,CH26_E-Sample,CH26_E-Shannon,CH26_E-Spectral,CH26_L-pldf,CH26_L-ldf,CH26_V-var,CH26_V-std,CH26_V-range,CH26_V-intrange,CH26_Sim-cohe_F_median,CH26_Sim-cohe_mean,CH26_Sim-cohe_pond_mean,CH26_Sim-cohe_areapond,CH26_Sim-corr,CH26_Sim-MutInfo,CH25_meanRR,CH25_rmssd,CH25_slopeRR
20120713-09_w_21,level_four,4,level_four,1,13.724,0.611,13.24015563,13.24061998,13.23213028,13.23936067,0.002911932,0.020066691,0.004879929,0.033628544,0,0,0,0,0.1,2.57E-11,132,130.4041082,37.6879715,0.013378762,0.149905264,0.023332287,0.013703414,0.015987967,0.013401394,5.242882471,1.44E-10,1.92E+11,0.997801512,0.021057697,0.145112703,0.611,0.1,256,0.986940293,127.9269359,252.8692304,0.625589063,7.873969419,0.70085119,0.691017394,-0.000279018
20120713-09_w_21,level_one,1,level_four,1,13.733,0.305,13.56430612,13.5650227,13.56101961,13.56405431,0.002957741,0.035779593,0.005049378,0.061081979,0,0,0,0,0.1,1.82E-11,132,130.9944382,37.95957317,0.013475177,0.086619765,0.001895409,0.028879346,0.034748903,0.029417622,5.629924558,8.64E-11,1.01E+11,0.996743822,0.006833601,0.082665598,0.305,0.136,255,0.985648199,127.6617021,252.559914,0.98090879,8.076999855,0.71221211,0.702437771,-0.020228795
20120713-09_w_21,level_zero,0,level_zero,0,13.364,0.125,13.2942892,13.29549656,13.29127559,13.29424459,0.002820668,0.081883041,0.00479325,0.139146464,0,0,0,0,0.1,1.48E-11,131,129.97249,37.96542266,0.013477253,0.036016213,0.000997945,0.071597839,0.083626388,0.070215637,4.714271188,6.59E-11,37774601976,0.992878165,0.001186632,0.034447519,0.125,0.059,255,0.987601212,127.8975796,252.9927084,0.976244134,6.759541154,0.713530679,0.691072525,-0.020577567
20120713-09_w_21,level_two,2,level_four,1,13.345,0.117,13.29672001,13.29904449,13.29472558,13.2966798,0.002850142,0.0871434,0.004882416,0.149280383,0,0,0,0,0.1,1.51E-11,131,130.0559471,37.64342005,0.013362946,0.034164615,0.001798853,0.075544448,0.087163252,0.073560339,4.596186473,6.83E-11,25969139205,0.991926738,0.001069705,0.032706344,0.118,0.057,255,0.986142481,127.815518,252.6619737,0.990386607,6.58634102,0.666043274,0.655824071,-0.004813058
20120713-09_w_21,level_two,2,level_four,1,13.108,0.116,13.05946822,13.06088087,13.05763496,13.05943202,0.002791193,0.090753483,0.004805684,0.156253085,0,0,0,0,0.1,1.43E-11,132,130.162927,37.68854524,0.013378965,0.032162962,0.000852133,0.078650502,0.089742871,0.076627798,4.597889859,6.37E-11,26506899117,0.991645466,0.000945917,0.030755769,0.116,0.049,255,0.988907354,127.9317459,253.3244625,0.992297909,6.587378537,0.686097509,0.682178715,-0.017857143
20120713-09_w_21,level_three,3,level_four,1,12.981,0.137,12.91053132,12.91263012,12.90815006,12.91047462,0.002664418,0.069622242,0.004539254,0.118612427,0,0,0,0,0.1,1.49E-11,133,131.8491935,37.95471251,0.013473451,0.039267468,0.00660079,0.041983408,0.055995747,0.034098839,4.435663672,7.23E-11,92432349959,0.995426038,0.001464565,0.038269633,0.137,0.068,255,0.988445832,127.8772489,253.2366649,0.833152133,6.422274405,0.651194057,0.637803293,-0.003301711
20120713-09_w_21,level_two,2,level_four,1,13.094,0.147,13.01305241,13.01432961,13.01018889,13.012989,0.002723011,0.067015294,0.004670337,0.114940408,0,0,0,0,0.1,1.54E-11,132,131.1706281,37.95914048,0.013475023,0.042395343,0.002100013,0.047082869,0.061720653,0.045689269,4.313015587,7.33E-11,1.18E+11,0.994448792,0.001651015,0.040632686,0.147,0.07,255,0.986372445,127.7971587,252.7253294,0.938302786,6.783924658,0.723001291,0.702992208,-0.02015904
20120713-09_w_21,level_four,4,level_four,1,12.925,0.193,12.78894695,12.79122559,12.78646344,12.78888853,0.002696023,0.069737497,0.004575133,0.118344083,0,0,0,0,0.1,2.02E-11,131,130.0352669,37.70437225,0.013384584,0.035805703,0.013299986,0.051958978,0.058295175,0.04378073,4.525856951,1.09E-10,72629227098,0.993732968,0.001494564,0.038659586,0.193,0.033,256,0.986517809,127.9366875,252.6849789,0.091992872,6.486939222,0.681462242,0.660973514,-0.006068638
20120713-09_w_21,level_one,1,level_four,1,12.994,0.123,12.95186894,12.95460658,12.94952679,12.95181896,0.002771307,0.077004848,0.004715453,0.131025816,0,0,0,0,0.1,1.67E-11,132,130.5755859,37.87618148,0.013445574,0.037638176,0.001552278,0.049994249,0.060799312,0.036487001,4.442894028,7.94E-11,36059063853,0.993667835,0.001295189,0.035988732,0.123,0.06,255,0.987367817,127.8841788,252.9144187,0.958404135,6.361636895,0.683484264,0.676748952,-0.016183036
20120713-09_w_21,level_zero,0,level_zero,0,12.805,0.13,12.73827453,12.74061142,12.73655531,12.73822897,0.002686435,0.078833982,0.004571581,0.134153987,0,0,0,0,0.1,1.44E-11,131,130.4869285,37.86525943,0.013441697,0.03565716,0.000542277,0.069408829,0.082411366,0.07050641,4.790189299,6.49E-11,1.12E+11,0.992796505,0.00116125,0.034077115,0.13,0.057,256,0.987921407,127.9382725,253.0787139,0.987240328,6.869067837,0.777899801,0.750709333,0.011886161
20120713-09_w_21,level_one,1,level_four,1,12.62,0.065,12.58626271,12.58828635,12.58437472,12.58625382,0.002607599,0.174217137,0.004466785,0.298431767,0,0,0,0,0.1,1.29E-11,131,130.5271536,37.80048886,0.013418704,0.015477449,0.000177911,0.223685332,0.204257555,0.212489541,4.022561345,5.72E-11,31638626379,0.973504402,0.000224027,0.014967525,0.065,0.024,255,0.987493967,127.9015093,252.9840784,0.969399998,5.758774893,0.778398046,0.754506474,0.025223214
20120713-09_w_21,level_zero,0,level_zero,0,12.541,0.067,12.50359463,12.50548398,12.50172425,12.50358573,0.002628551,0.17612074,0.004524689,0.303167624,0,0,0,0,0.1,1.45E-11,132,131.1412557,37.97353249,0.013480132,0.01533925,0.000926556,0.229654814,0.207638373,0.219114824,4.033796608,6.70E-11,50469659903,0.972046481,0.000222747,0.014924711,0.068,0.023,255,0.985742709,127.8372005,252.507439,0.952697869,5.772144051,0.711551575,0.693326192,0.005440848
20120713-09_w_21,level_three,3,level_four,1,12.668,0.233,12.51768516,12.51863135,12.51415632,12.51745722,0.002582031,0.034174535,0.004417407,0.05846669,0,0,0,0,0.1,1.64E-11,132,130.4007946,37.74529284,0.01339911,0.078864594,0.007126928,0.014622452,0.018874314,0.00846739,4.706203297,8.45E-11,73146238960,0.997667493,0.005708444,0.075554247,0.233,0.1475,255,0.9872881,127.8829667,252.9847177,0.965596114,6.75014038,0.655002662,0.64104488,-0.016113281
20120713-09_w_21,level_one,1,level_four,1,12.932,0.148,12.85017598,12.85246469,12.84925621,12.85011218,0.002663352,0.065761297,0.004521847,0.111649721,0,0,0,0,0.1,1.81E-11,132,131.0467556,37.81384667,0.013423446,0.042391196,0.000968351,0.057477698,0.06775107,0.05719144,4.904416306,9.52E-11,28011233049,0.994295751,0.001640274,0.040500301,0.148,0.069,255,0.985888091,127.8001896,252.5779103,0.976894323,7.028892747,0.677258801,0.656798315,-0.006487165
20120713-09_w_21,level_zero,0,level_zero,0,12.798,0.069,12.76577619,12.76769196,12.76357818,12.76576429,0.002647727,0.151889737,0.00449627,0.257933388,0,0,0,0,0.1,1.49E-11,132,130.7355327,37.89563803,0.013452481,0.018092704,0.00043702,0.189379638,0.17662672,0.183143037,4.100895853,7.09E-11,22233582938,0.97905578,0.000303871,0.017431904,0.069,0.029,255,0.987181137,127.8692307,252.9496074,0.985423398,5.871077724,0.711445258,0.699212093,-0.022460938
20120713-09_w_21,level_four,4,level_four,1,12.772,0.346,12.63404497,12.63729418,12.63354139,12.63361768,0.002571733,0.024746048,0.004403908,0.042375826,0,0,0,0,0.1,1.50E-11,132,131.0400885,37.67012942,0.013372428,0.108260068,0.009741362,0.014678806,0.017218959,0.012241273,5.158570717,7.66E-11,48981248823,0.998651408,0.010800405,0.103924998,0.346,0.172,255,0.985387016,127.7872971,252.493817,0.892785688,7.450622893,0.683768398,0.661207204,0.002580915
20120713-09_w_21,level_three,3,level_four,1,13.014,0.245,12.88122908,12.88182658,12.87850171,12.88105928,0.002692472,0.040702289,0.004569449,0.069076699,0,0,0,0,0.1,1.88E-11,133,131.0757623,38.02122729,0.013497063,0.067057598,0.010533489,0.033457964,0.037844533,0.032119386,5.315172375,9.82E-11,60608644572,0.997674002,0.004375872,0.066150373,0.245,0.1,256,0.986491362,127.9141161,252.6403939,0.492615953,7.622908442,0.673471815,0.65382879,-0.019810268
20120713-09_w_21,level_four,4,level_four,1,13.02,0.616,12.53834367,12.5415645,12.53268729,12.53742528,0.002566761,0.016910907,0.004404973,0.029021824,0,0,0,0,0.1,2.18E-11,132,130.4818487,37.63464881,0.013359833,0.157451236,0.021636705,0.00714195,0.010201997,0.004617566,5.182603606,1.29E-10,1.88E+11,0.997352093,0.023037597,0.151781411,0.616,0.1115,256,0.986261368,127.8282851,252.6884136,0.801773236,7.723575685,0.663845485,0.644357962,0.006277902
20120713-09_w_21,level_one,1,level_four,1,12.725,0.096,12.66947397,12.67113865,12.66739644,12.66944551,0.002585938,0.096283204,0.004474956,0.16661774,0,0,0,0,0.1,1.44E-11,131,130.2073756,37.79042602,0.013415132,0.027970865,0.0006925,0.081582474,0.098046825,0.077933042,4.426099084,7.05E-11,97368494193,0.991424084,0.000721332,0.026857618,0.096,0.05,255,0.987434697,127.8648125,253.0048423,0.919429016,6.341934739,0.661594026,0.647017012,-0.005580357
20120713-09_w_21,level_zero,0,level_zero,0,12.698,0.066,12.66095056,12.66323884,12.65938182,12.6609393,0.002527699,0.149670659,0.004276377,0.253213745,0,0,0,0,0.1,1.41E-11,131,129.8291027,37.68646914,0.013378228,0.017535147,0.000256115,0.176672708,0.176442851,0.173684516,4.079083731,7.12E-11,82462845123,0.980272036,0.000285218,0.016888406,0.066,0.028,255,0.9868052,127.8049569,252.8434773,0.957572458,5.838189534,0.795450992,0.770729457,0.016573661
20120713-09_w_21,level_four,4,level_four,1,12.712,0.354,12.52607568,12.52523198,12.52129345,12.52567093,0.002592685,0.025742927,0.004404973,0.043737254,0,0,0,0,0.1,1.96E-11,131,130.2836627,37.7442644,0.013398745,0.101799567,0.018971176,0.016909909,0.018564875,0.013610223,5.364281074,1.09E-10,27208891462,0.999464147,0.0101434,0.100714447,0.354,0.185,256,0.98648252,127.8613692,252.701004,0.765309837,7.723422164,0.619048906,0.605249671,-0.009393601
20120713-09_w_21,level_three,3,level_four,1,12.869,0.131,12.78298634,12.7854508,12.7818713,12.78295137,0.002669034,0.089240541,0.00448135,0.149836262,0,0,0,0,0.1,1.49E-11,132,131.135391,37.76504883,0.013406123,0.030167867,0.005785423,0.073222832,0.085037267,0.068067465,4.524502745,7.12E-11,2.04E+11,0.993274929,0.000894507,0.029908314,0.131,0.056,255,0.987421877,127.7930445,253.0184473,0.129745559,6.498263839,0.646172341,0.631125337,-0.011067708
20120713-09_w_21,level_one,1,level_four,1,13.205,0.225,13.05182369,13.05321452,13.0489698,13.05167093,0.002761364,0.043720069,0.004795027,0.075918612,0,0,0,0,0.1,1.32E-11,130,129.6403919,37.53945627,0.013326041,0.065971438,0.003452441,0.03108838,0.035369542,0.025525404,5.012968632,5.67E-11,21377790463,0.996892264,0.003989197,0.063160094,0.227,0.097,256,0.986729883,127.8847735,252.8269148,0.881358756,7.330490676,0.678098717,0.657935713,-0.004952567
20120713-09_w_21,level_zero,0,level_zero,0,13.054,0.141,12.99416879,12.9961079,12.99208782,12.99411431,0.002739702,0.072795076,0.004698757,0.124848025,0,0,0,0,0.1,1.33E-11,131,130.3041103,37.59254607,0.013344887,0.039286111,0.00190147,0.059501554,0.069309213,0.057477976,4.744519408,5.88E-11,2.40E+11,0.993607999,0.001416454,0.037635811,0.141,0.062,255,0.98609189,127.7441758,252.6477064,0.9719538,6.80034021,0.720999056,0.709307347,-0.022670201
20120713-09_w_21,level_one,1,level_four,1,12.839,0.072,12.79505014,12.79709551,12.79294388,12.79503834,0.002623935,0.150992616,0.004456483,0.256445427,0,0,0,0,0.1,1.42E-11,131,130.1457206,37.68635602,0.013378188,0.01799686,0.000568546,0.157754371,0.145026553,0.124653563,3.888728445,6.76E-11,1.04E+11,0.979608608,0.000301991,0.017377901,0.072,0.029,255,0.987071675,127.8358455,252.9174843,0.898954114,5.583053755,0.724908177,0.709003693,-0.015136719
